"id","id_user","content","Description","amount","units","msg_type","id_category","cdate","mdate","validity","PictureFile"
"212","46","Ayurvedisch voedseladvies/koken","Hoe een goede ayurvedische maaltijd opbouwen met gezonde voedende ingrediÃ«nten.\r\nBij u thuis Ayurvedische kookadvies voor u en uw gezin. Kleine onkosten vergoeding voor de ingrediÃ«nten.","20","uur","1","34","2011-06-18 21:48:29","2012-06-26 15:35:03","2017-05-31 15:35:03",""
"213","46","Kinderanimatie","Bij verjaardagen, feestjes ed wil ik animatie voorzien voor kinderen in de vorm van dans/creativiteit/theater/ ... \r\nPer 2u of langer\r\n","4","2uur","1","26","2011-06-18 21:52:15","2012-06-26 15:35:16","2017-05-31 15:35:16",""
"214","46","Hoofdmassage","Hoofdmassage met of zonder olie, bij u thuis.","20","uur","1","28","2011-06-18 21:53:06","2012-06-26 15:35:21","2017-05-31 15:35:21",""
"376","58","Reisadvies (zuidelijk) Afrika","Ik heb reiservaring in heel zuidelijk Afrika: vooral Zuid-Afrika, maar ook NamibiÃ«, Botswana, Mozambique, Zambia, Zimbabwe en Madagascar. Ik was ook al in Kenia en 2 x in Tanzania en heb de Kilimanjaro beklommen. In Marokko heb ik de Toubkal beklommen.\r\nIk werkte 1 jaar bij een reisorganistie die wandelreizen organiseert en een aantal bij een maanden bij een touroperator Afrika. \r\nNu werk ik niet meer in de reissector (ik begeleid enkel nog af en toe een reis, maar ben niet echt verbonden aan een organisatie).  Je kan bij mij dus terecht voor eerlijk, objectief reisadvies voor alle budgetten en verschillende manieren van reizen (zelf rondrijden, met een gids of in groep). \r\n","10","uur","1","30","2011-10-17 22:09:22","2012-10-05 20:01:56","2017-09-09 20:01:56",""
"377","58","Wandeltips vlaanderen en ardennen","Ik organiseer regelmatig wandelingen voor vrienden. Ik heb een uitgebreide collectie wandelkaarten (stafkaarten en toeristische kaarten) en wandelgidsen (bv. Alle dagstappersgidsen van vlaanderen en walloniÃ«). Je kan bij mij dus terecht voor het uitlenen van een wandelgids of stafkaart (vraag: 1 blusser per week per stuk, max. 3 weken, en teruggave in oorspronkelijke staat). Kom gerust eens kijken of vraag info over een bepaalde streek.\r\nIk wil ook graag je wandeling begeleiden zodat jij en je stapgenoten zich geen zorgen moeten maken over de route. (vraag: 10 blussers per halve dag , 20 blussers per dag.)\r\nIk beschik nu ook over een wandelgps en bereid mijn wandelingen nu altijd voor op de GPS.","0","","1","29","2011-10-17 22:09:48","2013-06-23 21:29:18","2017-09-09 20:01:58",""
"430","46","Filmen en monteren","Kan er iemand een filmpje maken en monteren zodat het gebruikt kan worden op mijn website/you tube ed","20","uur","0","23","2012-01-03 22:48:53","2012-06-26 15:35:24","2017-05-31 15:35:24",""
"454","35","Wasbare luiers","20 strikdoeken","30","","1","41","2012-02-20 09:06:42","2014-01-26 21:52:44","2018-03-06 21:52:44",""
"476","75","Fotografie","Foto's nodig van een optreden, een feestje, van jezelf of van je huis dat je te koop wil aanbieden?  Ik ga graag de uitdaging aan om voor jou een fotoreeks te maken!","20","uur","1","18","2012-03-07 22:11:13","2014-03-05 20:40:49","2015-02-28 20:40:49",""
"679","91","Gezondheidstips","ADHD, depressie, vermoeidheid, gezond afslanken, menopauze, PMS,...   Opleidingen: herborist, VGL-consulent (voeding-gezondheid-leefwijze) ","0","","1","42","2012-06-14 20:10:01","2013-04-24 14:08:26","2018-03-29 14:08:26",""
"680","91","Natuurlijke zelfzorgproducten","CrÃ¨mes, zalfjes, lippenstift, badproducten,... voor je op maat gemaakt of ik leer je het maken","0","","1","42","2012-06-14 20:25:49","2013-04-24 14:08:29","2018-03-29 14:08:29",""
"935","117","Originele gehaakte mutsen, sjaal of wanten op maat gemaakt.  ","","20","muts","1","27","2012-11-30 09:42:50","2014-11-03 13:21:11","2019-10-08 14:21:11",""
"477","75","Luisterend oor","Ik ontmoet graag mensen in datgene wat in hen omgaat. Doorheen mijn eigen groeiweg heb ik mogen ervaren hoe volle aanwezigheid het verschil maakt, en hoe het gehoord worden in het uitspreken van onze beleving -pijnlijk of fijn- beweging brengt en nieuwe deuren opent.  Ik ben geen therapeut, maar heb wel een brede persoonlijke ervaring en basis (o.a. PRH, emotioneel lichaamswerk, boeddhisme, meditatie, mannenwerk, ...) die ik kan inzetten in een gesprek. Eerste gesprek aan halve blussers.","20","uur","1","42","2012-03-07 22:13:36","2014-03-05 20:40:44","2015-02-28 20:40:44",""
"519","76","Op zoek naar een boek?","Ik kan je vanuit mijn job als bibliotheekmedewerker helpen bij het vinden van het boek dat je zoekt: jeugdboeken, titels rond een bepaald thema, beschikbaarheid in een bibliotheek, ... maar vraag me niet naar goeie auteurs/leestips want dat is moeilijk, enkel concrete vragen","5","boekenvraag","1","37","2012-03-17 18:00:12","2014-02-24 21:42:26","2022-05-13 22:42:26",""
"544","75","Hulp bij satelliet-TV installatie","Installatie, herrichten antenne, vervangen LNB naar duo LNB, ...","20","uur","1","23","2012-04-02 10:52:34","2014-03-19 22:21:46","2019-02-21 22:21:46",""
"568","88","fietsherstellingen","kleine fietsherstellingen ( vooral van de niet heel recente modellen )","10","uur","1","33","2012-04-05 13:18:36","2013-04-28 17:27:00","2015-03-21 12:25:05",""
"569","88","klusjes in huis","kleine klussen in huis ","10","uur","1","40","2012-04-05 13:20:47","2013-04-28 17:28:06","2015-03-21 12:20:47",""
"570","88","tuinwerken","vooral ervaring met groententuin , ook aanplantingen , enz...","10","uur","1","21","2012-04-05 13:26:57","2013-04-28 17:28:45","2015-03-21 12:26:57",""
"497","86","Meebrengen boodschappen van Colruyt, Brico, ikea enz. ","We kunnen iets grotere en zwaardere dingen vervoeren met monovolume.","\N","af te spreken","1","31","2012-03-12 23:43:11","2014-11-25 20:12:06","2019-01-29 21:18:07",""
"499","86","Klein verstelwerk","Kleine reparaties (naad los, broek inkorten...) of bijvoorbeeld het stikken van de scouts-emblemen op het uniform van uw zoon of dochter","20","uur","1","20","2012-03-13 00:02:42","2014-11-25 20:12:59","2019-01-29 21:18:09",""
"595","2","Elas test","Reageer op dit aanbod om elas te testen.\nAls alles goed werkt, zal je een berichtje ontvangen met je reactie","0","reactie","1","15","2012-04-09 21:38:30","2014-03-19 10:48:28","2017-03-03 10:48:28",""
"599","86","Bomen snoeien","","20","uur","1","21","2012-04-14 22:44:04","2014-12-07 22:22:04","2017-03-19 21:44:04",""
"639","85","laat je voetjes eens verwennen","ik verzorg je voeten met veel plezier. Ben medisch geschoold (medische pedicure) dus je tenen zal ik er niet afknippen :-) ","20","uur","1","28","2012-05-06 17:50:37","2013-03-03 17:51:17","2018-02-05 17:51:17",""
"661","14","Filmen en fotograferen","Ik kan goed filmen en fotograferen. Ik doe dat ook heel graag. Is er een speciale gebeurtenis in je leven die je graag verfilmd of gefotografeerd ziet ? Of wil je graag enkele leuke foto's van jezelf , Contacteer me dan ! Ik ben geen professional. Ik trek vooral leuke foto's.","20","uur","1","18","2012-06-07 17:04:17","2013-03-27 11:52:31","2017-05-12 17:04:17",""
"662","14","Nespresso capsules kopen en laten recycleren","Ik ga voor jou in Brussel Nespresso capsules kopen en ik laat je gebruikte capsules recycleren. Je spaart zo de verzendingskosten uit en je werkt mee aan het milieubehoud. Om enkel capsules te laten recycleren reken ik 3 blussers.","10","aankoop","1","40","2012-06-07 17:31:35","2013-02-01 17:10:34","2017-05-12 17:31:35",""
"674","91","klei en leem","Klei en leem uit onze kelder: om mee te boetseren of mee te lemen (we hebben dit ook in eigen huis gebruikt)","0","","1","39","2012-06-14 19:57:16","2013-04-24 14:08:07","2018-03-29 14:08:07",""
"675","91","Permacultuur","Ik kan je op weg helpen met permacultuur: uitleg basisbegrippen, eerste aanzet tot het maken van een ontwerp...  (Permaculture Design certificate behaald in Engeland)","0","","1","21","2012-06-14 19:58:38","2013-04-24 14:08:12","2018-03-29 14:08:12",""
"676","91","Haren knippen","Wie kan mij leren de haren van mijn kinderen te knippen?","0","","0","28","2012-06-14 19:59:47","2013-04-24 14:07:57","2018-03-29 14:07:57",""
"677","91","Allerlei activiteiten","zweethutten,handwerkavond,filmavond,vrouwencirkel,... zie www.deweegbree.be:  activiteiten met vrije gift kunnen ook in blussers","0","","1","36","2012-06-14 20:02:06","2013-04-24 14:08:18","2018-03-29 14:08:18",""
"678","91","Leren vilten","Ik kan je de basis leren (vlak vilten,bolletjes,sprietjes,op zijde) maar ook vormvilten: tassen,sloffen,potjes;bloemen,holle vormen,paas-en kerstdecoratie; droogvilten, vilten met naaldvilt,...","0","","1","20","2012-06-14 20:07:40","2013-04-24 14:08:23","2018-03-29 14:08:23",""
"2448","222","Kinderjeansjas Tijgetje","Maat 104!","2","","1","27","2014-10-14 16:49:15","2014-10-14 17:23:54","2014-12-13 15:49:15",""
"652","40","Meisjeskleding allerlei tot en met 10 jaar.","Allerlei leeftijden tot en met 10 jaar. Ook  merkkleding in zeer goeie staat. Kom eens kijken of ik kom er eens mee langs zodat u kan kiezen. ","\N","","1","27","2012-05-28 20:44:54","2014-06-13 11:56:14","2019-05-18 11:56:14",""
"681","91","Advies ecologisch (ver)bouwen","","0","","1","39","2012-06-14 20:26:26","2013-04-24 14:08:34","2018-03-29 14:08:34",""
"682","91","Typewerk","","0","","1","15","2012-06-14 20:28:04","2013-04-24 14:08:38","2018-03-29 14:08:38",""
"683","91","Allerlei patronen ","Boeken en tijdschriften met patronen / ideeÃƒÂ«n om te breien, haken, vilten,... Ik kan je ook op weg helpen","0","","1","20","2012-06-14 20:34:48","2013-04-24 14:08:41","2018-03-29 14:08:41",""
"684","91","Leren spinnen","Ik heb hier een spinnenwiel waarop je mag komen leren spinnen (ik help je op weg, maar het is eigenlijk vooral veel oefening)","0","","1","20","2012-06-14 20:36:03","2013-04-24 14:08:45","2018-03-29 14:08:45",""
"686","91","Groepsruimte","Te huur voor activiteiten vanaf september\r\n7x7m","0","","1","2","2012-06-14 20:42:00","2013-04-24 14:08:48","2018-03-29 14:08:48",""
"687","91","Speeldagen","Kinderen bij elkaar laten spelen (kleuterleeftijd)","0","","1","25","2012-06-14 20:48:26","2013-04-24 14:08:51","2018-03-29 14:08:51",""
"707","58","Ovenschotel klaarmaken","Ik kan een beetje koken, als er vrienden of familie komen eten maak ik meestal een ovenschotel. Zo heb ik enkele klassiekers die ik ook voor jou etentje kan klaarmaken (max. 10 personen).\r\nBv.\r\nBobotie (Zuid-Afrikaanse gehaktschotel met fruit, heel lekker vraag maar aan de Letsers die het al geproefd hebben)\r\nSchotel met vis, spinazie, puree een kaassaus\r\nSchotel met kip, witloof, puree en kaassaus\r\nDe vlaamse klassieker, witloof en hesp in de oven\r\nEen originele pastaschotel met prei en hespenblokjes\r\n\r\nVraag: 20 blussers per uur (ik denk wel dat het op een uur klaar is, maar het kan ook 1u30 worden, maximum 2 uur, een beetje afhankelijk van de hoeveelheid die moet klaargemaakt worden). De ingrediÃ«nten worden afgerekend aan aankoopkosten.\r\n","20","uur","1","34","2012-07-01 17:09:35","2012-10-05 20:02:03","2017-09-09 20:02:03",""
"970","106","Allerlei (lichte) hulp bij ziekte","","0","","1","15","2012-12-09 17:25:49","2013-12-04 20:24:12","2014-11-29 20:24:12",""
"876","35","Vogelkooi","Mooie vogelkooi voor bijvoorbeeld 1 of 2 parkieten. die van ons is weggevlogen toen een kat de kooi heeft laten omvallen ... de kooi zelf is tiptop in orde !\nHet is amper gebruikt !\nJe krijgt een aantal toebehoren erbij.","30","stuk","1","22","2012-10-18 14:47:29","2014-10-20 22:01:11","2015-10-15 22:01:11",""
"833","84","plooifiets te leen","We hebben een plooifietsje (Bromton)die uitgeleend kan worden. ","0","","1","33","2012-09-13 21:16:05","2013-09-03 22:17:20","2018-08-08 22:17:20",""
"834","84","reistips Balkan","Wie tips en/of literatuur (reisgidsen, kaarten, reisverhalen,...) wil over de Balkan...laat maar iets weten!","0","","1","30","2012-09-13 21:17:44","2013-09-03 22:17:24","2018-08-08 22:17:24",""
"835","84","juridisch advies","","30","uur","1","15","2012-09-13 21:21:08","2013-09-03 22:17:27","2018-08-08 22:17:27",""
"836","84","juridisch advies","","30","uur","1","19","2012-09-13 21:22:35","2013-09-03 22:17:29","2018-08-08 22:17:29",""
"860","64","behangen","Voor geen al te grote werken","20","uur","1","40","2012-10-12 11:37:47","2012-11-12 13:06:47","2017-10-17 14:06:47",""
"2648","228","handgemaakte juwelen","Ik maak zelf juwelen, vooral kleurige exemplaren in Fimo en recuperatiemateriaal zoals vintage knopen.\nOok voor mannen en kinderen!\nOp bestelling maak ik graag elk gewenst model en kleur voor jou.\n\nstandaard prijzen: 16 blussers voor de ringen, 20 blussers voor oorbellen en armbanden, 24 blussers voor halskettingen\n\nOok voor herstellingen aan je eigen juwelen kan je bij mij terecht (vervangen slotje, inkorten of verlengen halsketting etc).\n\nIdeaal als kerstcadeau!\nJe kan ook aan iemand een bon schenken, in te ruilen voor een juweeltje naar eigen wens.\n","\N","","1","20","2014-11-25 12:01:21","2014-12-05 18:07:40","2015-11-20 12:01:21",""
"2543","164","FLOW tijdschriften 2010","6 stuks FLOW tijdschriften uit 2010 (nrs 2-8).\nVoor gezellige winteravonden!","\N","","1","37","2014-10-30 15:04:07","2014-10-30 15:04:28","2014-12-29 15:04:07",""
"740","100","Verkleedkoffer","Verkleedkoffer voor Marokkaanse avond; danssjaaltjes met bellekes, kleedjes in verschillende kleuren, ook een teetal jurken voor meisjes in het roze","25","voor heel de ve","1","38","2012-07-08 22:32:38","2014-04-25 11:07:11","2019-03-30 10:07:11",""
"736","100","Marrakech theeglazen, dienblad,theepot en recept muntthee; te leen","Wil je een Marokkaanse avond organiseren..","25","","1","34","2012-07-07 13:37:46","2014-04-25 11:07:19","2019-03-30 10:07:19",""
"729","100","Tajines  of couscous","Verschillende soorten tajines (kip, lam, enz) of couscous, gemaakt op traditionele manier! Overheerlijke gerechten!!","35","gerecht","1","34","2012-07-07 13:20:12","2014-04-25 11:09:39","2019-03-30 10:09:39",""
"934","117","leren haken","Ik leer je de basis van het haken, met veel geduld. Heb je ergens een leuk patroon gezien, een muts, sjaal,bloemetje,... Ik leer je het haken.","20","uur","1","20","2012-11-30 09:38:48","2014-11-03 13:21:18","2019-10-08 14:21:18",""
"2546","164","Boek EERSTE KNUTSELPRET","EERSTE KNUTSELPRET - Nieuwe knutselideeën voor kinderen vanaf 4 jaar - Deltas\nAls Nieuw!","5","stuk","1","37","2014-10-30 15:10:36","2014-10-30 17:49:34","2014-12-29 15:10:36",""
"943","76","kamishibai vertelling ","Ik heb een eigen kamishibai-verteltheatertje en kom graag een voorstelling geven voor een groep kinderen (op een verjaardagsfeestje, bij een activiteit, ...), evt. knutselmoment aan gekoppeld. Ik animeer met wat extra attributen/raadseltjes naast de vertelplaten. Dit doe ik onder mijn alter ego van Tante Kamishibai.","30","vertelmoment","1","26","2012-11-30 21:52:51","2013-11-17 21:44:32","2022-02-03 21:44:32",""
"960","104","koken","Afhaalgerechten, of koken bij jou thuis\nIngrediÃ«nten zelf voorzien of cash afgerekend","20","uur","1","34","2012-12-07 11:43:02","2012-12-07 17:13:45","2014-11-27 17:13:45",""
"961","104","uitlenen aanhangwagen","Indien nodig kunnen we ook zelf rijden","0","","1","32","2012-12-07 11:44:12","2012-12-07 17:06:51","2014-11-27 17:06:51",""
"963","104","herstellen kleding","","0","","0","20","2012-12-07 11:48:40","2012-12-07 17:20:38","2014-11-27 17:20:38",""
"968","106","Kinderoppas","Geen voorkeur voor bepaalde leeftijd","0","","1","25","2012-12-09 17:17:40","2013-12-04 20:24:05","2014-11-29 20:24:05",""
"969","106","Huisoppas bij afwezigheid en ook huisdieren verzorgen.","","0","","1","40","2012-12-09 17:22:49","2013-12-04 20:24:06","2014-11-29 20:24:06",""
"971","106","Hulp bij kuisen (in huis)","","0","","0","40","2012-12-09 17:28:49","2013-12-04 20:23:41","2014-11-29 20:23:41",""
"973","106","Ik zoek iemand die heel af en toe mijn haar wilt knippen.","","0","","0","2","2012-12-09 17:38:23","2013-12-04 20:23:53","2014-11-29 20:23:53",""
"977","14","ski-kledij en skibotten","Ik heb nog heel wat ski-kledij en skibotten (maat 42) in de aanbieding. De ski-kledij is vooral maat M en S. Ideaal voor iemand van 170 tot 180 cm groot. Ik heb zelf veel nieuw gekocht, dus mijn oud materiaal moet weg. Blussers zijn overeen te komen.","0","","1","30","2012-12-10 11:51:01","2013-01-31 10:11:55","2016-11-19 11:51:01",""
"992","100","Koekjesmengeling","Schaaltje met 4 soorten koekjes: amandelbrewats, maizenakoekjes in choco, kokoskoekjes, dadelkoekjes en griesmeelokkernootkoekje.  Heb nog enkele schaaltjes. 12 blussers per schaaltje. Kan ook gebracht worden mits 5 blussertjes.","12","schaal","1","34","2012-12-15 19:04:35","2013-06-27 14:32:35","2018-06-01 14:32:35",""
"1015","83","Memospel, puzzels","Mijn kinderen hebben veel te veel speelgoed en de kasten puilen uit. Daarom moet er wat speelgoed weg. Er is amper mee gespeeld en alles is in goede staat:\n- Jip en Janneken memospel (Hema)\n- KwisKids 3de leerjaar (750 leuke vragen voor onderweg, in de vorm van een waaier)\n- Tellen van 1 tot 10 (vanaf 3 jaar): 50 leerrijke kaarten om vlot te leren tellen\n- puzzel van Cars (leeftijd 4+,50 stukjes)\n- puzzel van PokÃ©mon (leeftijd 6+, 100 stukjes)\n- puzzel raceauto's (leeftijd 9+, 300 stukjes)\n- puzzel van dino's (500 stukjes)\n\nPer spel/puzzel: 5 blussertjes.\n\n- De Grote Geschiedenisshow (van EÃ©n, 8+) Dit spel is gekocht in de Kringloopwinkel dus gebruikt maar wel compleet. Daarom maar 3 blussertjes.","5","stuk","1","27","2012-12-23 16:05:38","2012-12-27 18:01:21","2014-12-17 18:01:21",""
"1023","14","Sneeuwkettingen Weisstech 9mm (80) te huur","Ik heb sneeuwkettingen Weisstech 9mm (80). Ze zijn geschikt voor de banden maten:\nâ€¢185 - 13\nâ€¢185/80 - 13\nâ€¢195/70 - 13\nâ€¢205/65 - 13\nâ€¢205/70 - 13\nâ€¢175 - 14\nâ€¢175/80 - 14\nâ€¢185/70 - 14\nâ€¢185/75 - 14\nâ€¢195/65 - 14\nâ€¢205/60 - 14\nâ€¢165 - 15\nâ€¢175/70 - 15\nâ€¢185/65 - 15\nâ€¢195/60 - 15\nâ€¢205/50 - 15\nâ€¢205/55 - 15\nâ€¢215/50 - 15\nâ€¢225/45 - 15\nâ€¢295/55 - 16\nâ€¢205/45 - 16\nâ€¢215/40 - 16\nâ€¢205/40 - 17\n\n\n","20","week","1","31","2012-12-29 17:23:49","2013-01-17 16:16:31","2017-12-22 16:16:31",""
"1033","14","Autorijles","Ik heb al aan twee personen autorijles gegeven, met succes. Ik ben momenteel een derde persoon aan het opleiden. Ik heb veel geduld. Ik ken goede oefenterreinen. Ik kan ook maneuvers aanleren.","20","uur","1","31","2013-01-02 17:43:57","2013-01-31 10:10:59","2017-12-07 17:43:57",""
"1052","120","Groepsruimte te huur","Groepsruimte van 49mÂ² (7x7m) te huur voor activiteiten/workshops die je graag organiseert (thema's body/mind/spirit,voeding,ecologie,transitie,...)\r\nJe activiteit wordt dan mee in de nieuwsbrief verspreid en op de website gezet.","70","dagdeel","1","2","2013-01-08 21:59:44","2013-04-24 14:10:04","2018-03-29 14:10:04",""
"1036","115","knuffels","ik zoek een job waar ik knuffels kan geven en handen vasthouden,waar er deze nood is,wens ik hartverwarmende knuffels te geven...graag ergens waar verwaarloosde of mishandelde kinderen worden opgevangen","0","","0","41","2013-01-02 22:58:24","2014-09-08 10:23:05","2019-08-13 10:23:05",""
"1037","115","hakselaar","hakselaar in bruikleen (geen heel dikke takken)","10","dag","1","21","2013-01-02 23:58:23","2014-09-08 10:23:08","2019-08-13 10:23:08",""
"1035","115","knuffels","waar kan ik helpen met handen vasthouden en knuffels geven...","0","","1","42","2013-01-02 22:49:24","2014-09-08 10:23:26","2019-08-13 10:23:26",""
"1062","115","massagetafel ","een op plooibare houten massagetafel","20","gebruik","1","42","2013-01-17 22:10:12","2014-09-08 10:23:10","2019-08-13 10:23:10",""
"1131","128","Sessie Reiki","Gedurende 30 minuten wordt met energie gewerkt, ik heb Reiki II","20"," 30 minuten","1","42","2013-03-10 11:24:45","2014-03-02 10:06:28","2017-06-14 11:06:28",""
"1488","133","Kleine boodschappen","Voor kleine of dringende boodschappen/post/bank/schoenmaker/etc, tot uw dienst!","0","","1","33","2013-06-27 14:42:01","2014-07-12 22:05:37","2019-06-16 22:05:37",""
"1132","128","Hollistic Pulsing","Je ligt, alleen schoenen moeten uit, op een tafel, er wordt zachtjes gewiegd en geduwd. Het resultaat is een diepe ontspanning. \nSoms vallen mensen in slaap, dan moet ik hen zachtjes wekken.","20","1 uur","1","42","2013-03-10 11:27:01","2014-03-02 10:06:48","2017-06-14 11:06:48",""
"1133","128","Naaien","Kleine herstellingen,losse naden, knopen aannaaien, ritsen inzetten...","20","volgens gewerkt","1","20","2013-03-10 11:28:24","2014-03-02 10:07:02","2017-06-14 11:07:02",""
"1134","128","Haken","Ik kan, zowel leren haken als zelf iets maken in haakwerk","20","volgens tijdgeb","1","20","2013-03-10 11:29:20","2014-03-02 10:07:14","2017-06-14 11:07:14",""
"1135","128","Breien","Zowel leren breien, als brei stukken maken","20","volgens gebruik","1","20","2013-03-10 11:30:19","2014-03-02 10:07:24","2017-06-14 11:07:24",""
"1136","128","Begeleiden meditaties","Ik begeleid een meditatie, met minimum 3 personen","20","volgens tijdgeb","1","42","2013-03-10 11:31:27","2014-03-02 10:07:35","2017-06-14 11:07:35",""
"1160","111","babysitten","","20","uur","1","25","2013-03-22 19:48:19","2014-03-22 21:23:42","2016-03-11 21:23:42",""
"1168","129","Computerhandleiding maken","Ik maak een handleiding met schermafbeeldingen bij internettoepassingen of basis computerprogramma's en commando's. Bijvoorbeeld: een account aanmaken op Facebook, een bijlage toevoegen aan je mail, ...","20","uur","1","15","2013-03-23 15:17:53","2014-03-12 17:56:02","2019-02-14 17:56:02",""
"1170","123","Hond bijhouden tijdens weekend of vakantie","Wil hond bijhouden. Het moet weliswaar klikken met mijn hond (Schottish Terrier)","20","dag","1","21","2013-03-23 15:22:29","2013-04-30 14:21:58","2016-03-07 15:22:29",""
"1171","129","Boodschappen","Ik winkel graag en wil gerust je boodschappen doen: Aldi, Match, bakker, slager, kruidenier, krantenwinkel, ...","0","","1","2","2013-03-23 15:32:00","2014-03-12 17:56:14","2019-02-14 17:56:14",""
"1173","129","Hulp bij invullen van formulieren en subsidieaanvragen","","20","uur","1","16","2013-03-23 15:36:31","2014-03-12 17:56:19","2019-02-14 17:56:19",""
"1175","129","Brievenbus leeg maken","Ik maak met plezier je brievenbus leeg als je op vakantie bent: regio Mechelen Brusselpoort of centrum","20","week","1","15","2013-03-23 15:39:25","2014-03-12 17:56:23","2019-02-14 17:56:23",""
"1177","129","Lamineren tot A3","Ik kan voor je lamineren tot formaat A3. Lamineerfolie zelf mee te brengen of te betalen.","0","stuk","1","15","2013-03-23 15:53:47","2014-03-12 17:56:25","2019-02-14 17:56:25",""
"1178","129","Scannen","Ik kan je documenten scannen, ook grote hoeveelheden","0","","1","15","2013-03-23 15:56:12","2014-03-12 17:56:28","2019-02-14 17:56:28",""
"1179","129","Evenementen publiceren","Ik plaats je evenement in de uitdatabank en kondig het aan op Mechelenblogt","0","","1","15","2013-03-23 15:58:32","2014-03-12 17:56:30","2019-02-14 17:56:30",""
"1069","115","grote halogeenlamp","halogeen lamp bij  klusjeswerk te gebruiken te leen","5","dag","1","39","2013-01-27 19:42:06","2014-09-08 10:23:15","2019-08-13 10:23:15",""
"1068","115","klopboormachien te leen","te leen electrisch klopboormachien","10","per dag","1","39","2013-01-26 13:41:20","2014-09-08 10:23:40","2019-08-13 10:23:40",""
"1210","120","Durf-te-vragen-sessie","Een plan? een idee?  een droom?  kan je hierbij een duwtje in de rug gebruiken? kom dan naar deze worskhop gegeven door Kitty. op dinsdag 23 april om 18u30. Vooraf inschrijven. Sessie met open waardebepaling","0","","1","18","2013-03-27 17:06:26","2013-04-24 14:14:09","2018-03-29 14:14:09",""
